"","Year","Area","Street","Street.2"
"387",2011,"","Outside Temple Parade  Lower Parade"," Outside Temple Parade, Lower Parade"
"388",2011,"","Outside the Temple Bar  Lower Parade  SC"," Outside the Temple Bar, Lower Parade, SC"
"389",2011,"","PARADE   SUTTON COLDFIELD","PARADE . SUTTON COLDFIELD"
"390",2011,"","parade SC","parade SC"
"391",2011,"","parade sutton coldfield","parade sutton coldfield"
"392",2011,"","parade sutton coldfield","parade sutton coldfield"
"393",2011,"","PARADE SUTTON COLDFIELD","PARADE SUTTON COLDFIELD"
"394",2011,"","parade sutton town","parade sutton town"
"395",2011,"","Parade  Sutton Coldfield"," Parade, Sutton Coldfield"
"396",2011,"","Parade  Sutton Coldfield"," Parade, Sutton Coldfield"
"397",2011,"","Parade  Sutton Town Centre"," Parade, Sutton Town Centre"
"398",2011,"","Parkeston Crescent  Kinsgatnding  B ham"," Parkeston Crescent, Kinsgatnding, B'ham"
"399",2011,"","PLANTS GROVE ERDINGTON","PLANTS GROVE ERDINGTON"
"400",2011,"","Pype Hayes Road  Pype Hayes  B ham"," Pype Hayes Road, Pype Hayes, B'ham"
"401",2011,"","Pype Hayes Road  Pype Hayes  B ham"," Pype Hayes Road, Pype Hayes, B'ham"
"402",2011,"","Pype Hayes Road  Pype Hayes  B ham"," Pype Hayes Road, Pype Hayes, B'ham"
"403",2011,"","queen Str.","queen Str."
"404",2011,"","queen Str.","queen Str."
"405",2011,"","queen Str.","queen Str."
"406",2011,"","queen Str.","queen Str."
"407",2011,"","Queen Str. Sutton Coldfield Town centre","Queen Str. Sutton Coldfield Town centre"
"408",2011,"","Queslett Road East","Queslett Road East"
"409",2011,"","REDACRE RD BOLDMERE","REDACRE RD BOLDMERE"
"410",2011,"","RESERVOIR ROAD","RESERVOIR ROAD"
"411",2011,"","Ridgeway","Ridgeway"
"412",2011,"","Slade Road  Erdington  B ham"," Slade Road, Erdington, B'ham"
"413",2011,"","Slade Road  Erdington  B ham"," Slade Road, Erdington, B'ham"
"414",2011,"","Soth parade  Sutton Coldfield"," Soth parade, Sutton Coldfield"
"415",2011,"","Soth parade  Sutton Coldfield"," Soth parade, Sutton Coldfield"
"416",2011,"","south parade","south parade"
"417",2011,"","SOUTH PARADE","SOUTH PARADE"
"418",2011,"","SOUTH PARADE","SOUTH PARADE"
"419",2011,"","South Parade","South Parade"
"420",2011,"","South Parade","South Parade"
"421",2011,"","South Parade","South Parade"
"422",2011,"","South Parade","South Parade"
"423",2011,"","SOUTH PARADE","SOUTH PARADE"
"424",2011,"","South Parade","South Parade"
"425",2011,"","south parade","south parade"
"426",2011,"","south parade","south parade"
"427",2011,"","South Parade","South Parade"
"428",2011,"","South Parade        town centre  Sutton Coldfield"," South Parade Â‰Ã›Âê town centre, Sutton Coldfield"
